,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
W10X39,39.0,11.5,9.92,7.99,0.315,0.530,1.1875
W10X33,33.0,9.71,9.73,7.96,0.290,0.435,1.125
W10X30,30.0,8.84,10.5,5.81,0.300,0.510,1.125
W10X26,26.0,7.61,10.3,5.77,0.260,0.440,1.0625
W10X22,22.0,6.49,10.2,5.75,0.240,0.360,0.9375
W10X19,19.0,5.62,10.2,4.02,0.250,0.395,0.9375
W10X17,17.0,4.99,10.1,4.01,0.240,0.330,0.875
W10X15,15.0,4.41,10.0,4.00,0.230,0.270,0.8125
W10X12,12.0,3.54,9.87,3.96,0.190,0.210,0.750
W8X67,67.0,19.7,9.00,8.28,0.570,0.935,1.625
W8X58,58.0,17.1,8.75,8.22,0.510,0.810,1.500
W8X48,48.0,14.1,8.50,8.11,0.400,0.685,1.375
W8X40,40.0,11.7,8.25,8.07,0.360,0.560,1.250
W8X35,35.0,10.3,8.12,8.02,0.310,0.495,1.1875
W8X31,31.0,9.12,8.00,8.00,0.285,0.435,1.125
W8X28,28.0,8.24,8.06,6.54,0.285,0.465,0.9375
W8X24,24.0,7.08,7.93,6.50,0.245,0.400,0.875
W8X21,21.0,6.16,8.28,5.27,0.250,0.400,0.875
W8X18,18.0,5.26,8.14,5.25,0.230,0.330,0.8125
W8X15,15.0,4.44,8.11,4.01,0.245,0.315,0.8125
W8X13,13.0,3.84,7.99,4.00,0.230,0.255,0.750
W8X10,10.0,2.96,7.89,3.94,0.170,0.205,0.6875
W6X25,25.0,7.34,6.38,6.08,0.320,0.455,0.9375
W6X20,20.0,5.87,6.20,6.02,0.260,0.365,0.875
W6X15,15.0,4.43,5.99,5.99,0.230,0.260,0.750
W6X16,16.0,4.74,6.28,4.03,0.260,0.405,0.875
W6X12,12.0,3.55,6.03,4.00,0.230,0.280,0.750
W6X9,9.00,2.68,5.90,3.94,0.170,0.215,0.6875
W6X8.5,8.50,2.52,5.83,3.94,0.170,0.195,0.6875
W5X19,19.0,5.56,5.15,5.03,0.270,0.430,0.8125
W5X16,16.0,4.71,5.01,5.00,0.240,0.360,0.750
W4X13,13.0,3.83,4.16,4.06,0.280,0.345,0.750
